Hour,Class ID,Monday,Tuesday,Wednesday,Thursday,Friday
8 AM,1,[],"[('Math', 'Juan')]",[],[],[]
8 AM,2,"[('Math', 'Juan')]",[],[],[],[]
9 AM,1,"[('Math', 'Juan')]","[('Math', 'Juan')]",[],[],[]
9 AM,2,[],[],[],[],[]
10 AM,1,[],[],[],[],[]
10 AM,2,[],"[('Math', 'Juan')]",[],[],[]
11 AM,1,[],[],"[('Science', 'Carlos')]",[],[]
11 AM,2,[],"[('Science', 'Carlos')]",[],[],[]
0 PM,1,[],[],"[('Science', 'Carlos')]",[],[]
0 PM,2,"[('Science', 'Carlos')]","[('Science', 'Carlos')]",[],[],[]
1 PM,1,[],[],[],[],[]
1 PM,2,[],[],[],[],[]
2 PM,1,[],[],[],[],[]
2 PM,2,[],[],[],[],[]
3 PM,1,[],[],[],[],[]
3 PM,2,[],[],[],[],[]
4 PM,1,[],[],[],[],[]
4 PM,2,[],[],[],[],[]
