Hour,Professor ID,Monday,Tuesday,Wednesday,Thursday,Friday
8 AM,Juan,"[('Math', '2')]","[('Math', '1')]",[],[],[]
8 AM,Carlos,[],[],[],[],[]
9 AM,Juan,"[('Math', '1')]","[('Math', '1')]",[],[],[]
9 AM,Carlos,[],[],[],[],[]
10 AM,Juan,[],"[('Math', '2')]",[],[],[]
10 AM,Carlos,[],[],[],[],[]
11 AM,Juan,[],[],[],[],[]
11 AM,Carlos,[],"[('Science', '2')]","[('Science', '1')]",[],[]
0 PM,Juan,[],[],[],[],[]
0 PM,Carlos,"[('Science', '2')]","[('Science', '2')]","[('Science', '1')]",[],[]
1 PM,Juan,[],[],[],[],[]
1 PM,Carlos,[],[],[],[],[]
2 PM,Juan,[],[],[],[],[]
2 PM,Carlos,[],[],[],[],[]
3 PM,Juan,[],[],[],[],[]
3 PM,Carlos,[],[],[],[],[]
4 PM,Juan,[],[],[],[],[]
4 PM,Carlos,[],[],[],[],[]
