Hour,Professor ID,Monday,Tuesday,Wednesday,Thursday,Friday
8 AM,Juan,[],[],[],[],[]
8 AM,Carlos,[],[],[],[],[]
8 AM,Maria,[],[],[],[],[]
8 AM,Jose,[],[],[],[],[]
9 AM,Juan,[],"[('Math', '1')]",[],[],[]
9 AM,Carlos,[],[],[],[],[]
9 AM,Maria,[],[],[],[],[]
9 AM,Jose,"[('History', '3')]",[],[],[],[]
10 AM,Juan,[],"[('Math', '1')]","[('Math', '1')]",[],[]
10 AM,Carlos,[],[],[],[],[]
10 AM,Maria,[],[],[],[],[]
10 AM,Jose,"[('Art', '3')]","[('Art', '4')]","[('History', '4')]",[],[]
11 AM,Juan,[],[],[],[],[]
11 AM,Carlos,"[('Math', '2')]",[],[],[],[]
11 AM,Maria,[],[],[],[],[]
11 AM,Jose,[],"[('Art', '4')]",[],[],[]
0 PM,Juan,[],[],[],[],[]
0 PM,Carlos,[],[],"[('Science', '1')]",[],[]
0 PM,Maria,[],[],[],[],[]
0 PM,Jose,"[('Art', '3')]",[],"[('Art', '4')]",[],[]
1 PM,Juan,[],[],[],[],[]
1 PM,Carlos,"[('Science', '2')]",[],[],[],[]
1 PM,Maria,"[('History', '3')]",[],[],[],[]
1 PM,Jose,[],[],"[('History', '4')]",[],[]
2 PM,Juan,[],[],[],[],[]
2 PM,Carlos,"[('Math', '2')]","[('Science', '2')]",[],[],[]
2 PM,Maria,[],[],"[('History', '4')]",[],[]
2 PM,Jose,[],[],[],[],[]
3 PM,Juan,[],[],[],[],[]
3 PM,Carlos,"[('Science', '1')]","[('Science', '2')]",[],[],[]
3 PM,Maria,[],[],[],[],[]
3 PM,Jose,[],[],[],[],[]
4 PM,Juan,[],[],[],[],[]
4 PM,Carlos,[],[],[],[],[]
4 PM,Maria,[],[],[],[],[]
4 PM,Jose,[],[],[],[],[]
