Hour,Class ID,Monday,Tuesday,Wednesday,Thursday,Friday
8 AM,1,"[('PE', 'Lebron')]","[('Math', 'Juan')]",[],[],[]
8 AM,2,[],[],"[('Science', 'Juan')]",[],"[('Science', 'Juan')]"
8 AM,3,[],[],[],"[('Math', 'Juan')]",[]
8 AM,4,[],"[('PE', 'Lebron')]",[],[],[]
9 AM,1,"[('Math', 'Juan')]","[('Science', 'Juan')]","[('English', 'Sia')]",[],[]
9 AM,2,[],[],"[('PE', 'Lebron')]","[('Science', 'Juan')]","[('English', 'Sia')]"
9 AM,3,"[('English', 'Sia')]","[('English', 'Sia')]",[],"[('English', 'Sia')]",[]
9 AM,4,[],"[('PE', 'Lebron')]","[('Science', 'Juan')]",[],[]
10 AM,1,"[('English', 'Sia')]",[],[],[],[]
10 AM,2,[],[],"[('Math', 'Juan')]","[('Math', 'Juan')]","[('English', 'Sia')]"
10 AM,3,"[('History', 'Wit')]","[('PE', 'Lebron')]",[],"[('English', 'Sia')]",[]
10 AM,4,[],"[('English', 'Sia')]","[('English', 'Sia')]",[],[]
11 AM,1,"[('PE', 'Lebron')]","[('Science', 'Carlos')]",[],[],[]
11 AM,2,"[('Math', 'Carlos')]",[],"[('English', 'Sia')]",[],[]
11 AM,3,[],"[('Art', 'Mina')]","[('PE', 'Lebron')]","[('Math', 'Carlos')]",[]
11 AM,4,"[('English', 'Sia')]","[('English', 'Sia')]",[],[],[]
0 PM,1,"[('English', 'Sia')]","[('Math', 'Carlos')]","[('English', 'Sia')]",[],[]
0 PM,2,[],[],"[('PE', 'Lebron')]","[('English', 'Sia')]",[]
0 PM,3,"[('Art', 'Mina')]",[],[],[],[]
0 PM,4,"[('Science', 'Carlos')]",[],[],"[('Art', 'Mina')]",[]
1 PM,1,"[('Science', 'Carlos')]",[],"[('History', 'Maria')]",[],[]
1 PM,2,[],"[('Art', 'Mina')]",[],[],[]
1 PM,3,"[('Math', 'Juan')]","[('History', 'Wit')]","[('Art', 'Mina')]",[],[]
1 PM,4,"[('History', 'Maria')]","[('History', 'Maria')]",[],"[('Science', 'Carlos')]",[]
2 PM,1,"[('History', 'Maria')]","[('History', 'Maria')]","[('Science', 'Carlos')]",[],[]
2 PM,2,"[('Science', 'Carlos')]",[],"[('Art', 'Mina')]","[('Math', 'Carlos')]",[]
2 PM,3,"[('History', 'Wit')]","[('Math', 'Juan')]",[],"[('Art', 'Mina')]",[]
2 PM,4,"[('Art', 'Mina')]","[('Art', 'Mina')]","[('History', 'Maria')]",[],[]
3 PM,1,[],"[('History', 'Wit')]","[('Math', 'Carlos')]",[],[]
3 PM,2,[],"[('Art', 'Mina')]","[('Art', 'Mina')]",[],[]
3 PM,3,[],[],"[('History', 'Wit')]",[],[]
3 PM,4,[],"[('Science', 'Carlos')]","[('History', 'Maria')]","[('Art', 'Mina')]",[]
4 PM,1,[],[],[],[],[]
4 PM,2,[],[],[],[],[]
4 PM,3,[],[],[],[],[]
4 PM,4,[],[],[],[],[]
