Hour,Class ID,Monday,Tuesday,Wednesday,Thursday,Friday
8 AM,1,[],"[('Science', 'Juan')]","[('History', 'Wit')]",[],[]
8 AM,2,"[('Science', 'Juan')]",[],"[('PE', 'Lebron')]","[('PE', 'Lebron')]",[]
8 AM,3,"[('PE', 'Lebron')]",[],"[('Math', 'Juan')]",[],[]
8 AM,4,[],[],[],[],[]
9 AM,1,"[('History', 'Wit')]","[('English', 'Sia')]","[('Science', 'Juan')]",[],[]
9 AM,2,"[('English', 'Sia')]","[('Science', 'Juan')]","[('English', 'Sia')]",[],[]
9 AM,3,"[('Math', 'Juan')]",[],[],"[('English', 'Sia')]",[]
9 AM,4,[],"[('PE', 'Lebron')]",[],[],"[('English', 'Sia')]"
10 AM,1,[],"[('English', 'Sia')]","[('Math', 'Juan')]",[],[]
10 AM,2,[],"[('Math', 'Juan')]",[],[],[]
10 AM,3,"[('English', 'Sia')]",[],[],[],[]
10 AM,4,"[('Science', 'Juan')]","[('History', 'Wit')]",[],[],"[('PE', 'Lebron')]"
11 AM,1,"[('Math', 'Carlos')]","[('English', 'Sia')]",[],[],[]
11 AM,2,"[('Art', 'Mina')]","[('Science', 'Carlos')]","[('Art', 'Mina')]",[],[]
11 AM,3,[],[],"[('English', 'Sia')]","[('English', 'Sia')]",[]
11 AM,4,"[('History', 'Wit')]",[],[],"[('Art', 'Mina')]","[('English', 'Sia')]"
0 PM,1,"[('PE', 'Lebron')]","[('PE', 'Lebron')]","[('Math', 'Carlos')]",[],[]
0 PM,2,"[('Science', 'Carlos')]","[('Art', 'Mina')]","[('English', 'Sia')]",[],[]
0 PM,3,"[('Art', 'Mina')]","[('Math', 'Carlos')]","[('Art', 'Mina')]","[('Art', 'Mina')]",[]
0 PM,4,[],[],[],[],"[('English', 'Sia')]"
1 PM,1,"[('English', 'Sia')]","[('History', 'Maria')]","[('Math', 'Carlos')]",[],[]
1 PM,2,"[('Art', 'Mina')]","[('Math', 'Juan')]","[('English', 'Sia')]",[],[]
1 PM,3,"[('Math', 'Carlos')]","[('Art', 'Mina')]","[('PE', 'Lebron')]",[],[]
1 PM,4,"[('Science', 'Juan')]","[('English', 'Sia')]","[('Art', 'Mina')]","[('Art', 'Mina')]",[]
2 PM,1,[],"[('Science', 'Juan')]",[],[],[]
2 PM,2,"[('Math', 'Carlos')]",[],"[('Math', 'Carlos')]",[],[]
2 PM,3,"[('History', 'Maria')]","[('History', 'Maria')]",[],"[('History', 'Maria')]",[]
2 PM,4,"[('Science', 'Juan')]","[('History', 'Wit')]",[],[],[]
3 PM,1,"[('Science', 'Carlos')]","[('History', 'Wit')]",[],[],[]
3 PM,2,[],[],[],[],[]
3 PM,3,[],"[('History', 'Maria')]",[],[],[]
3 PM,4,"[('Art', 'Mina')]","[('Science', 'Carlos')]","[('History', 'Maria')]",[],[]
4 PM,1,[],[],[],[],[]
4 PM,2,[],[],[],[],[]
4 PM,3,[],[],[],[],[]
4 PM,4,[],[],[],[],[]
